name,location,date,description,phone,category,image
구로청소년축제,서울시 구로구,2024. 10. 19. | 11:00~18:00,"2024년 제9회 구로청소년축제는 10/19(토) 구로중학교 운동장에서 열린다. 구로청소년축제는 구로청소년자치연합 그린나래 청소년들이 직접 기획하고 운영하여 더욱 특별한 행사이다.

이번 축제는 ""도전해 화려한 지금 너의 꿈을"" 이라는 주제로 청소년이 꿈과 끼를 펼칠 수 있는 자리를 만들고 청소년이 스스로 진로에 대한 꿈을 키울 수 있는 기회를 조성하는 축제이다. 청소년에게 다양한 교육과 체험의 기회를 제공하는 동시에 지역이 함께 소통하고 화합하여 모두가 함께 어울어지는 장이 펼쳐진다.",02-860-2140,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728002435236.jpg
시흥시청소년동아리축제,경기도 시흥시,2024. 10. 19. | 13:00~21:00,"시흥시 청소년 동아리 축제는 자기주도적인 청소년 동아리 활동을 활성화하고 청소년 동아리와 지역사회와의 소통, 교류를 위해 마련된 장이다. 또한, 시흥시 관내 사회참여, 봉사, 수학, 스포츠, 댄스, 밴드 등 다양한 분야의 532개의 동아리 약 7,500여 명의 청소년이 만들어가는 전국 최대 규모의 청소년 축제이다.",031-315-1890,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726709101899.jpg
아이가 행복입니다,서울시 송파구,2024. 10. 18. ~ 10. 19. | 10:00~18:00,"""아이가 행복입니다""는 한국의 저출생 문제를 정부와 기업, 사회단체, 국민이 다 함께 힘을 합쳐 극복해야 한다는 공감대를 형성하기 위해 2018년 처음 개최되었다. 일과 생활의 균형, 저출생과 관련된 대책 각 분야 전문가들이 일반 대중들과 소통하는 자리이자, 출생/육아 정책과 건강 정보 등 양육의 부담을 덜 수 있는 정보도 제공한다. 동시에 잔디광장에서는 아이와 가족이 함께 즐길 수 있는 참여 체험 프로그램 등 다양한 볼거리를 제공한다.",1551-0178,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726709155670.jpg
물만난 평택 페스티벌,경기도 평택시,19일 (토) 12:00~20:00 / 20일 (일) 12:00~18:00,"평택의 중요한 자연 자원 중 하나인 진위천에서 똑똑하게 놀고, 편안하게 쉬는 물 만난 평택시민들의 축제로 진위천 유원지 일대에는 다양한 체험 프로그램이 가득한 물 만난 힐링 칠링 참여마당 (오감만족 힐링 공방, 퀘스트 트래블 스태프 랠리)과 물 만난 오픈 스테이지 (뮤직 콘서트, 토크 콘서트), 물 만난 페스티벌 피크닉존(푸드&테이블 존, 플리마켓), 진위천 야외 도서관 등이 펼쳐지며, 진위천을 중심으로 자연과 사람이 공존하는 축제를 즐길 수 있다.",0507-1316-3606,음악,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728520727275.jpg
서로 엮는 북촌의 날,서울시 종로구,2024. 10. 11. ~ 10. 20. | 10:00~20:00 (날짜별 상이),"<2024 북촌의 날>은 북촌의 이웃과 문화자원을 연계한 지역문화축제로서 지역성, 역사성, 주체성이 다양하게 엮이는 오늘날의 역사문화관광 거점인 북촌을 무대로 10/11(금)부터 10/20(일)까지 열흘 동안 진행된다. 

작년 엔데믹 이후로 더욱 활발해진 지역 간 이동과 교류는 북촌을 더욱 약동시키고 있다. 특히 한국문화에 대한 글로벌 수요가 증가함에 따라 외국인 관광객이 급증하면서 백년전통을 다져온 북촌한옥마을의 곳곳이 더욱 주목받고 있다. 이제는 단순히 북촌에 거주하는 사람뿐만 아니라, 이곳을 방문하는 소비와 관광의 주체들 또한 지역문화의 중심을 이끌고 있다. 

그러나 이에 따른 거주민의 정주권과 환경 문제 또한 대두되고 있다. 날마다 수많은 관광객이 오가며 다양하게 엮인 문화자원들과 이를 통해 지역사회가 외치는 K-문화의 부흥을 어떠한 방식으로 발현시켜야 할지 고민과 성찰이 필요하다. 서울공공한옥의 연간 최대 축제인 <북촌의 날>은 이와 같은 지역 이슈를 함께 생각하는 축제로서 고민과 성장을 시도하고 있다. 

이번 축제의 다양한 주체들과 프로그램은 한국적 고유성에 드나드는 여러 가지 문화를 더욱 배려하고 포용하는 다문화주의적 사고를 지향한다. 이를 통해 전통의 변용가능성을 발굴하고, 한옥을 거점으로 남녀노소와 내외국인 누구나 주체가 될 수 있는 장을 마련하고자 한다. 

점점 더 많은 교류와 광역적 발달이 촉진되는 오늘날, 서울공공한옥은 북촌의 역사문화와 동시대성이 끊임없이 생장할 수 있도록 가꾸고자 한다. 마을의 옛길과 물길을 무대로 활기를 찾는 현장에서의 새로운 만남을 기대하며, 한옥과 전통, 북촌의 문화 속에서 또 다른 확장 가능성이 열릴 수 있도록 많은 관심과 참여를 바란다.",02-741-1033,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728349370435.jpg
원주 농협 치악산 고구마 축제,강원도 원주시,2024. 10. 19. ~ 10. 20. | 09:00~18:00,"원주농협 조합원들이 직접 재배한 고구마와 각종 농산물, 먹거리를 판매하는 축제이다.
현지 농산물을 저렴한 가격에 직접 구매할 수 있을뿐아니라, 로컬푸드로 만든 먹거리들도 함께 즐길 수 있는 축제이다.
지역특산품의 브랜드화를 위하는 축제임과 동시에 신선한 농산물을 농업인에게 직접 구매할 수 있는 판로를 만들어 농가소득 증대 및 지역사회 발전에 이바지 하는 축제다.",033)742-0114,먹거리,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728265410168.jpg
무형유산축전,전라북도 전주시,2024. 10. 17. ~ 10. 20. | 09:00~21:00,"<무형 유산 축전>은 무형 유산의 문화적 가치를 보존하고 전승하기 위해 국립무형 유산원이 진행하는 무형 유산 중심 축제로 무형 유산의 중요성을 널리 알리고, 그 가치를 재발견하며, 지속 가능한 전승을 도모하는 중요한 행사이다. 화락 연희 - 조화롭고 즐거운 잔치에서 빛나는 기쁨이라는 슬로건으로 10월 17일~20일 4일간 현대와 연결된 무형 유산의 화려한 변신을 경험할 수 있다. 무형 유산을 주제로 공연, 전시, 체험 등 남녀노소, 온 가족이 참여할 수 있는 프로그램이 준비되어 있다.",1551-6063,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728265360171.jpg
프란치스코 교황방문 10주년 기념행사,충청남도 당진시,2024. 10. 19. ~ 10. 20. | 14:00~21:00,프란치스코 교황방문 10주년 기념행사에서 2014 천주교 아시아 청년대회 및 프란치스코 교황의 방문의 뜨거운 감동이 함께한지 어느덧 10년 그 감동을 다시 한번 느낄 수 있다. 10월 19일부터 20일까지 2일간 진행되며 대한민국 최초의 사제이자 2021 유네스코 세계기념인물로 선정된 김대건신부의 탄생지인 당진 솔뫼성지에서 프란치스코 교황방문 10주년 기념행사가 개최된다.,041-362-5021,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728265457195.jpg
강경젓갈축제,충청남도 논산시,2024. 10. 17. ~ 10. 20. | 10:00~20:00,"강경젓갈과 상월고구마가 어우러지는 대한민국 대표 웰니스 관광축제이다.
MZ세대를 아우르는 모디슈머 젓갈음식문화 창출과 확산하며, 색다른 공간과 지역의 화홥을 위한 100세 시대 건강축제 구성한다. 
젓갈판매에서 다양한 젓갈 모디슈머(자신만의 레시피 방식으로 재창조하는 소비자) 레시피 음식 문화 축제이며 기획형 먹거리촌 조성으로 젓갈삼합, 젓갈고구마주먹밥 등을 판매한 ""지역특화음식관"" 운영한다.",041-730-2983,먹거리,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1727830617189.jpg
계양 문화유산 야행,인천시 계양구,2024. 10. 18. ~ 10. 20. | 18:00~22:00,"2024년 10월 보름달이 뜨는 날, 계양구의 첫 문화유산 야행인 “활활” 계양 문화유산 야행이 열린다. 삼국시대부터 중요한 군사적 요충지였던 계양산성을 필두로 유생들이 활을 통해 정신을 수련했던 부평향교, 그리고 정조대왕이 들려 활을 쏜 부평도호부 관아까지 세 개의 계양 문화유산을 활을 통해서 바라봅니다. 계양의 역사를 담은 6야(夜) 프로그램을 통해 다채로운 문화유산의 밤을 느낄 수 있다.",032-450-5753,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1727830427710.jpg
문화의 달,전라남도 신안군,2024. 10. 18. ~ 10. 20. | 09:00 ~ 22:00,"국민의 문화 의식과 이해를 높이고 문화 활동에의 적극적인 참여를 유도하기 위하여 매년 10월 문화의 달로 하고 기념하는 행사를 개최한다.
 「2024년 문화의 달 행사」에는 2024.10.18.(금)~2024.10.20.(일) 3일간 남원시 광한루 일원에서 개최된다.
남원 명인 명창의 국악공연, 전통 줄타기 공연, 마당극, 청소년 국악페스티벌, 신관사또 부임행차 공연, 남원농악보존회 공개공연, 다양한 장르의 퓨전국악·재즈·조선팝·국악트롯 공연 등이 펼쳐집니다. 10.18.(금) 문화의 달 행사 기념식(국가기념일)에는 명인 명창의 환영의 소리 공연, 몽룡찾기 퍼포먼스, 로컬 100 우수사례 시상, 주제공연(타악공연, 축원무 공연, 가수 송가인 공연, 시민합창단 공연) 이 추진된다. 
그 밖에 춘향놀이터, 남원 체험존에서는 다양한 체험놀이를 하실 수 있으며, 지역 연계행사로 남원예술제(10.19.~10.20.) 강도근 전국판소리 고법 경연(10.19.~10.20)이 남원시 일원에서 펼쳐진다.",063-620-8907,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1727397703540.png
경기미디저트페스타,경기도 수원시,2024. 10. 19. ~ 10. 20. | 11:00~17:00,"경기미디저트페스타는 경기미로 만든 쌀 디저트 박람회로 쌀 디저트 경연 대회, 체험, 전시, 판매전 등 먹고 보고 즐길 수 있는 페스티벌이다.",070-4205-1233,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726709277514.jpg
가야문화축제,경상남도 김해시,2024. 10. 16. ~ 10. 20.,"가야문화축제는 가락국(금관가야)의 전통과 역사적 기반을 바탕으로 한 역사 문화 축제이며, 올해는 음력 9월 15일(10월 17일) 김수로왕의 ""숭선전 추향대제일"" 기점에 개최된다. 
동북아시아 해상교통의 중심국가이자 철기문화를 지녔던 가야 왕국의 과거 위상을 알리고 가야문화의 가치를 재조명하는 역사문화축제가 될 것이며, 가락국 김해만의 독창적인 축제가 경남도민을 중심으로 펼쳐진다.
2024년은 김해 방문의 해로 지정하고 가야고분군 세계유산 등재 1주년을 축하하는 기념식과 더불어 전국체전 및 동아시아문화도시와 가야문화축제 연계를 통한 국제적인 축제로 거듭날 예정이다. 
가야고분군 유네스코 세계유산 등재를 발판으로 가야유적을 배경으로 한 다양한 콘텐츠를 기획하여 김해시 이미지 브랜딩 및 관광 활성화에 큰 역할을 할 것이다.",055-330-6840,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726710747885.jpg
광주서창억새축제,광주시 서구,2024. 10. 17. ~ 10. 20. | 13:00~19:00,"남도 대표 자연 힐링 축제인 광주서 창 억새축제는 영산강 일원에서 자연 억새와 어우러진 다양한 문화 예술 공연과 체험행사, 걷기 행사, 멍 때리기 대회 등이 함께 이루어진다. 서구 8경 중 하나인 서창 들녘 노을과 억새 길을 걸으며 남도 유일 도심 속 자연 축제를 만날 수 있다. 올해(2024년)는 은빛 억새가 전하는 가을로의 초대라는 주제로 10월 17일부터 20일까지 4일간 진행된다.",062-350-4792,음악,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726710535139.jpg
제주독서대전,제주도 제주시,2024. 10. 18. ~ 10. 20. | 11:00~17:00,"제주독서대전은 제주시민 모두 책으로 소통하고 공감하는 독서 문화를 조성하기 위해 도내 독서 관련 기관, 단체와 함께 독서 생태계 기반을 다지는 제주 대표 책 축제이다.",064-728-1503,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726709500869.jpg
고마로馬문화축제,제주도 제주시,2024. 10. 18. ~ 10. 20. | 10:00~17:00,"「역사와 문화가 숨 쉬고 현대가 공존하는 고마로를 따라... 」를 주제로 하여 고마로馬문화축제를 통해 제주의 결속과 화합의 장을 마련하고 문화적 가치화 지역자원을 홍보할 수 있는 계기를 마련하고 말의 고장인 제주의 이미지를 홍보하고 제주 전통 馬 문화를 상품화함으로써 말산업과 문화·관광산업의 축제로 자리매김할 수 있는 제주지역대표축제이다. 축제를 통하여 말고기 소비 및 음식 개발 등 다채로운 행사로 도민뿐 아니라 관광객들이 참여하여 도심 속 축제장에서 승마체험, 말먹이주기 체험, 말고기 음식 시식 및 마제품 판매들 통한 말산업의 다채로움을 느끼고 체험할 수 있다. 

그뿐 아니라 지역주민들의 프리마켓 부스 소소한 체험 이벤트 등 여러 종류의 체험을 할 수 있으며 축제 음식점을 통하여 말고기 관련 음식 및 축제장의 먹거리를 통하여 축제를 한껏 즐길 수 있는 제주지역대표축제이다. 또한 무대에서는 다채로운 공연과 쇼를 볼 수 있으며, 옛말들이 이동했던 고마로를 걷는 거리 퍼레이드는 누구나 접수하여 고마로를 행진할 수 있는 가장행렬 거리 퍼레이드로 거듭나면서 축제에 다채로움을 느낄 수 있는 축제이다.",064-728-4442,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726709425767.jpg
청주 디저트·베이커리 페스타,충청북도 청주시,2024. 10. 19. ~ 10. 20. | 11:00~20:00,"청주 디저트·베이커리 페스타는 달콤한 도시 청주를 주제로 개최되며, 축제 기간 지역을 대표하는 디저트·베이커리 홍보 및 판매, 관련 체험 및 부대행사, 관련 학과 학생들의 지역 대표 디저트 베이커리 창작 작품 전시 이벤트, 축제와 어우러진 잔잔한 공연, 지역 대표 농특산물 브랜드 청원생명 상생 장터 등 다채로운 행사가 진행된다.",043-201-2056,음악,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726709330346.jpg
경기미 쌀 디저트페스타,경기도 수원시,2024. 10. 19. ~ 10. 20. | 11:00~17:00,"경기미디저트페스타는 경기미로 만든 쌀 디저트 박람회로 쌀 디저트 경연 대회, 체험, 전시, 판매전 등 먹고 보고 즐길 수 있는 페스티벌이다.",070-4205-1233,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726709277514.jpg
솜리결사대 : 금고의 비밀을 밝혀라,전라북도 익산시,2024. 10. 19. ~ 10. 20. | 12:30~18:00,"익산 인화동 근대거리와 솜리문화금고의 인지도를 높이기 위한 시대상 반영 스토리형 RPG 프로그램이 구시장 일대에서 이틀간 개최된다. 이번 행사는 근대거리의 역사적 가치를 알리고, 지역의 문화유산을 체험할 수 있는 독특한 기회를 제공한다. 참여자들은 과거의 익산을 배경으로 한 역사 속 인물이 되어 색다른 경험을 즐길 수 있다. 스토리형 RPG는 단순한 관광을 넘어 참가자들이 직접 역사 속에서 살아가는 인물로서 행동하고 결정을 내리는 방식으로 진행되어, 익산의 근대 역사와 문화를 보다 생동감 있게 체험할 수 있다. 또한, 이 축제는 지역 주민뿐만 아니라 참가자들에게도 익산의 과거를 재발견하고, 지역의 문화적 정체성에 대한 깊은 이해를 할 수 있는 기회를 제공한다.",053-253-0515,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726707005396.jpg
국가유산 조선왕릉축전,경기도 구리시,2024. 10. 11. ~ 10. 20.,"<국가유산 조선왕릉 축전>은 유네스코 세계유산으로 등재된 조선왕릉을 국내외에 알리기 위해 기획된 대표적인 왕릉 활용 행사이다.
지난 2020년 시작되어 올해로 5회째를 맞이하는 <2024 국가유산 조선왕릉 축전>은 10.11.(금) 개막식을 시작으로 10.20.(일)까지 10일간 진행하며, 조선왕릉에 특화된 공연?투어?전시?체험 등의 다채로운 문화?예술 프로그램으로 방문객 여러분을 맞이할 예정이다.
무엇보다 올해는 조선왕릉 문화제에서 국가유산 조선왕릉 축전으로 새롭게 거듭나며, 문화유산 축제로 왕릉 가치를 확대하고자 한다.
8월에는 사전 특별 프로그램인 조선왕릉 원정대를 선보이며, 더 많은 분들에게 조선왕릉의 역사와 가치를 널리 알리고자 한다.",1522-2295,음악,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1725932140908.jpg
우이천 등(燈)축제 <강북 꿈꾸는 물고기>,서울시 강북구,2024. 10. 8. ~ 2024. 10. 20. | 09:00~22:00 (점등시간 17:00~22:00),「강북 꿈꾸는 물고기」는 내 삶에 힘이 되는 자연도시 강북 우이천에서 꿈을 주제로 펼쳐지는 한지예술 등(燈) 축제이다. 419명의 강북 어린이가 꿈과 희망으로 직접 만든 꿈 씨앗 등(燈) 공공미술과 구름물고기 표구철 작가의 작품이 가을밤을 풍요롭게 수놓는다. 점등식에서 가수 박기영의 넬라 판타지아를 시작으로 축제 기간 동안 다양한 공연과 체험이 이루어진다. 마지막은 소중한 꿈을 전하면서 내년을 기약한다. 강북 꿈꾸는 물고기는 함께 만들고 더불어 즐기는 축제를 선사한다.,02-944-8458,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728520827917.jpg
국가유산 미디어아트 수원화성,경기도 수원시,2024. 9. 28. ~ 10. 20. | 19:00 ~ 22:00,"「수원화성 화락(和樂)」은 ‘정조대왕’이 개혁 신도시 수원화성에서 꿈꾸었던 여민동락의 세상을 현재의 다채로운 ‘빛’으로 연출한 미디어아트이다. 수원화성 행행을 통해 입성한 수원화성에서 펼친 개혁 활동과 효심, 애민정신, 인재 등용, 부국강병을 통하여 백성 모두가 화평하고 즐거운 세상을 바랐던 정조의 이야기인 「수원화성 화락(和樂)」이 미디어아트로 부활한다.

올해 네 번째 시즌을 맞는 이번 미디어아트의 감동은 화서문(2021), 화홍문~남수문(2022), 창룡문(2023)을 이어 화서문~장안문 일원에서 새롭게 재현된다. 화서문~장안문 일원에서 펼쳐질 ‘2024 수원화성 미디어아트’에서 수원화성만의 특별한 미디어아트를 경험할 수 있다.",031-290-3622,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1724978540207.jpg
용설애(愛) FESTA,경기도 안성시,2024. 7. 20. ~ 10. 20. | 11:30~16:30,"용설호수를 바라보고 펼쳐지는 ""용설애(愛) FESTA""는 7월부터 10월까지 가족과 어린이를 중심으로 모두가 즐겁게 즐길 수 있도록 다채로운 실내 공연과 풍성한 야외 프로그램, 신나는 에어바운스와 아기자기한 아트마켓&예술체험 그리고 다양한 먹거리로 어린이들의 마음에 재미와 활기를 불어 넣어주는 축제이다.",031-676-9512,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1724374968529.jpg
한강페스티벌,서울시 성동구,2024. 10. 11. ~ 10. 20.,"가을 한강에는 몸과 마음의 건강을 위한 다채로운 프로그램들이 기다리고 있다. 맑은 하늘, 선선한 바람, 강변을 수놓은 꽃과 함께 한강 가을 정취를 만끽하며 이색 운동을 즐길 수 있다.
퇴근 후 한강으로 발걸음을 이끄는 달밤 한강에서의 댄스 음악 줄넘기, 어릴 적 신나게 방방이 타던 기억을 떠올리며 일주일 동안 쌓였던 스트레스를 날려버릴 점핑 피트니스, 한강 위에서 맞이하는 신선한 일요일 아침 패들보드 요가, 별이 빛나는 밤에 헤드폰에서 들려오는 익숙한 가요를 들으며 1990년~2000년대로 돌아가 두둠칫 몸을 움직이게 되는 한강 춤 파티가 준비되어 있다.
겸재 정선의 한강 그림 속을 떠다니는 선상 뱃놀이와 노을 지는 강변을 무대로 열리는 화려한 오케스트라와 우아한 발레 공연, 산만함 속에서 극한의 집중력을 겨루는 대회, 서울에서 아프리카의 다양한 매력까지 만날 수 있다.",02-120,음악,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728002622678.jpg
서귀포칠십리축제,제주도 서귀포시,2024. 10. 18. ~ 10. 20. | 11:00~21:00,"서귀포칠십리축제는 서귀포의 아름다운 자연과 어우러진 여유로움을 즐기며, 색다른 문화를 만끽하고, 다양한 사람들과 함께 어울리는 지역 대표축제이다.",064-760-3942,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728349954328.jpg
